Day,Distance (km)
2011-02-02,3.003681446
2011-01-24,12.67246403
2011-02-03,2.725469221
2011-02-11,9.635001409
2011-01-31,8.529182607
2011-01-27,7.925150883
2011-01-20,6.315842006
2011-01-29,16.21190175
2011-02-05,4.275638789
2011-02-08,8.275726275
2011-02-06,18.35189287
2011-02-01,8.037873034
2011-02-07,19.56669586
2011-01-22,3.250963554
2011-01-30,11.06894545
2011-01-21,9.625964391
2011-02-09,6.138004097
2011-01-28,8.104183376
2011-01-19,0.404905548
2011-02-04,10.72004124
2011-01-25,1.741500961
2011-01-23,1.400628763
2011-02-10,19.85121289
